original_id	canonical_id
royals:wp:ko:한양-본관	royals:wp:ko:한양-본관
royals:wp:ko:후-성씨	royals:wp:ko:후-성씨
royals:wp:en:royal-order-of-merit-of-prince-uchicho	royals:wp:en:royal-order-of-merit-of-prince-uchicho
royals:wp:en:mangione-family-of-maryland	royals:wp:en:mangione-family-of-maryland
royals:wp:en:reinaldo-josé-herrera	royals:wp:en:reinaldo-josé-herrera
royals:wp:en:anglo-american-corporation	royals:wp:en:anglo-american-corporation
royals:wp:en:brenthurst-estate	royals:wp:en:brenthurst-estate
royals:wp:en:wealth-of-vladimir-putin	royals:wp:en:wealth-of-vladimir-putin
royals:wp:en:wealth-of-petro-poroshenko	royals:wp:en:wealth-of-petro-poroshenko
royals:wp:en:wealth-of-john-d-rockefeller	royals:wp:en:wealth-of-john-d-rockefeller
royals:wp:en:wealth-of-bill-gates	royals:wp:en:wealth-of-bill-gates
royals:wp:en:wealth-of-carlos-slim	royals:wp:en:wealth-of-carlos-slim
royals:wp:en:clan-tartan	royals:wp:en:clan-tartan
royals:wp:en:clan-brown	royals:wp:en:clan-brown
royals:wp:en:angus-mackintosh	royals:wp:en:angus-mackintosh
royals:wp:en:anstruther-gough-calthorpe-family	royals:wp:en:anstruther-gough-calthorpe-family
royals:wp:en:clan-balfour	royals:wp:en:clan-balfour
royals:wp:en:barony-of-the-aird	royals:wp:en:barony-of-the-aird
royals:wp:en:lord-of-the-glynns	royals:wp:en:lord-of-the-glynns
royals:wp:en:lord-aboyne	royals:wp:en:lord-aboyne
royals:wp:en:barony-of-lessendrum	royals:wp:en:barony-of-lessendrum
royals:wp:en:lord-cathcart	royals:wp:en:lord-cathcart
royals:wp:en:gateley-hall	royals:wp:en:gateley-hall
royals:wp:en:alan-cathcart-4th-earl-cathcart	royals:wp:en:alan-cathcart-4th-earl-cathcart
royals:wp:en:richard-charteris-lord-elcho	royals:wp:en:richard-charteris-lord-elcho
royals:wp:en:james-drummond-10th-earl-of-perth	royals:wp:en:james-drummond-10th-earl-of-perth
royals:wp:en:lochindorb-castle	royals:wp:en:lochindorb-castle
royals:wp:en:list-of-septs-of-clan-donald	royals:wp:en:list-of-septs-of-clan-donald
royals:wp:en:douglas-charles-douglas-hamilton-marquess-of-douglas-and-clydesdale	royals:wp:en:douglas-charles-douglas-hamilton-marquess-of-douglas-and-clydesdale
royals:wp:en:baron-dunira	royals:wp:en:baron-dunira
royals:wp:en:anne-gordon-marchioness-of-aberdeen-and-temair	royals:wp:en:anne-gordon-marchioness-of-aberdeen-and-temair
royals:wp:en:clan-gregor-scotland-act-1775	royals:wp:en:clan-gregor-scotland-act-1775
royals:wp:en:gustavus-hamilton-russell	royals:wp:en:gustavus-hamilton-russell
royals:wp:en:gustavus-hamilton-russell-9th-viscount-boyne	royals:wp:en:gustavus-hamilton-russell-9th-viscount-boyne
royals:wp:en:rosemary-hamilton-russell-viscountess-boyne	royals:wp:en:rosemary-hamilton-russell-viscountess-boyne
royals:wp:en:baron-wantage	royals:wp:en:baron-wantage
royals:wp:en:thomas-lyon-bowes-lord-glamis	royals:wp:en:thomas-lyon-bowes-lord-glamis
royals:wp:en:nicalasdair	royals:wp:en:nicalasdair
royals:wp:en:macamhalghaidh	royals:wp:en:macamhalghaidh
royals:wp:en:nicamhalghaidh	royals:wp:en:nicamhalghaidh
royals:wp:en:sir-allan-maclean-4th-laird-of-brolas	royals:wp:en:sir-allan-maclean-4th-laird-of-brolas
royals:wp:en:hector-rufus-bellicosus-maclean	royals:wp:en:hector-rufus-bellicosus-maclean
royals:wp:en:hector-the-swarthy-maclean	royals:wp:en:hector-the-swarthy-maclean
royals:wp:en:hector-the-younger-maclean	royals:wp:en:hector-the-younger-maclean
royals:wp:en:hector-the-great-maclean	royals:wp:en:hector-the-great-maclean
royals:wp:en:mull-hall	royals:wp:en:mull-hall
royals:wp:en:nicleòid	royals:wp:en:nicleòid
royals:wp:en:bean-mhic-leóid	royals:wp:en:bean-mhic-leóid
royals:wp:en:nicleóid	royals:wp:en:nicleóid
royals:wp:en:mhic-leóid	royals:wp:en:mhic-leóid
royals:wp:en:mac-leóid	royals:wp:en:mac-leóid
royals:wp:en:lord-maxwell	royals:wp:en:lord-maxwell
royals:wp:en:diana-helmore	royals:wp:en:diana-helmore
royals:wp:en:aymer-edward-maxwell	royals:wp:en:aymer-edward-maxwell
royals:wp:en:christian-mowatt	royals:wp:en:christian-mowatt
royals:wp:en:flora-alexandra-vesterberg	royals:wp:en:flora-alexandra-vesterberg
royals:wp:en:alexander-ogilvy-b-1996	royals:wp:en:alexander-ogilvy-b-1996
royals:wp:en:marquess-of-dalhousie	royals:wp:en:marquess-of-dalhousie
royals:wp:en:hannah-gascoyne-cecil-marchioness-of-salisbury	royals:wp:en:hannah-gascoyne-cecil-marchioness-of-salisbury
royals:wp:en:mac-conallaidh	royals:wp:en:mac-conallaidh
royals:wp:en:ó-briain	royals:wp:en:ó-briain
royals:wp:en:ó-comhaltáin	royals:wp:en:ó-comhaltáin
royals:wp:en:ó-máille	royals:wp:en:ó-máille
royals:wp:en:mac-conallaidh	royals:wp:en:mac-conallaidh
royals:wp:en:cope-family	royals:wp:en:cope-family
royals:wp:en:ponsonby-family	royals:wp:en:ponsonby-family
royals:wp:en:brennan-family	royals:wp:en:brennan-family
royals:wp:en:esme-bligh-9th-earl-of-darnley	royals:wp:en:esme-bligh-9th-earl-of-darnley
royals:wp:en:peter-bligh-10th-earl-of-darnley	royals:wp:en:peter-bligh-10th-earl-of-darnley
royals:wp:en:adam-bligh-11th-earl-of-darnley	royals:wp:en:adam-bligh-11th-earl-of-darnley
royals:wp:en:earl-of-mountrath	royals:wp:en:earl-of-mountrath
royals:wp:en:house-of-belmonte	royals:wp:en:house-of-belmonte
royals:wp:en:cati-family	royals:wp:en:cati-family
royals:wp:en:valeria-messallia	royals:wp:en:valeria-messallia
royals:wp:en:princess-malcy-murat	royals:wp:en:princess-malcy-murat
royals:wp:en:nicole-pastré	royals:wp:en:nicole-pastré
royals:wp:en:vittoria-borghese	royals:wp:en:vittoria-borghese
royals:wp:en:prince-of-butera	royals:wp:en:prince-of-butera
royals:wp:en:prince-of-pietraperzia	royals:wp:en:prince-of-pietraperzia
royals:wp:en:prince-of-scordia	royals:wp:en:prince-of-scordia
royals:wp:en:count-of-mazarin	royals:wp:en:count-of-mazarin
royals:wp:en:county-of-raccuja	royals:wp:en:county-of-raccuja
royals:wp:en:count-of-raccuja	royals:wp:en:count-of-raccuja
royals:wp:en:count-of-mazzarino	royals:wp:en:count-of-mazzarino
royals:wp:en:prince-of-anzi	royals:wp:en:prince-of-anzi
royals:wp:en:prince-of-avella	royals:wp:en:prince-of-avella
royals:wp:en:prince-of-belvedere	royals:wp:en:prince-of-belvedere
royals:wp:en:prince-of-chiusano	royals:wp:en:prince-of-chiusano
royals:wp:en:prince-of-pietrelcina	royals:wp:en:prince-of-pietrelcina
royals:wp:en:prince-of-sepino	royals:wp:en:prince-of-sepino
royals:wp:en:prince-of-stigliano	royals:wp:en:prince-of-stigliano
royals:wp:en:giorgiana-corsini	royals:wp:en:giorgiana-corsini
royals:wp:en:marquess-of-pescara	royals:wp:en:marquess-of-pescara
royals:wp:en:marchioness-of-pescara	royals:wp:en:marchioness-of-pescara
royals:wp:en:prince-of-monteroduni	royals:wp:en:prince-of-monteroduni
royals:wp:en:cati-family	royals:wp:en:cati-family
royals:wp:en:princess-maria-adelaide-of-bourbon-parma	royals:wp:en:princess-maria-adelaide-of-bourbon-parma
